ref,1,2,3,4,5,6,7,8,9,10
865.384,-0.51,1.186,-0.455,-0.833,-0.419,-0.379,-0.732,-0.269,0.376,-0.82
874.885,-0.487,1.137,-0.415,-0.836,-0.396,-0.398,-0.745,-0.259,0.344,-0.788
885.25,-0.541,1.135,-0.496,-0.881,-0.435,-0.41,-0.753,-0.321,0.329,-0.828
895.538,-0.511,1.11,-0.455,-0.874,-0.435,-0.39,-0.755,-0.292,0.311,-0.781
905.388,-0.519,1.108,-0.444,-0.861,-0.449,-0.396,-0.76,-0.31,0.311,-0.8
914.998,-0.499,1.115,-0.454,-0.884,-0.437,-0.387,-0.737,-0.26,0.339,-0.801
924.315,-0.495,1.101,-0.391,-0.841,-0.404,-0.406,-0.747,-0.28,0.296,-0.791
934.713,-0.503,1.08,-0.459,-0.913,-0.48,-0.397,-0.73,-0.291,0.316,-0.825
944.765,-0.471,1.133,-0.385,-0.839,-0.411,-0.351,-0.716,-0.264,0.328,-0.769
953.972,-0.444,1.096,-0.414,-0.866,-0.412,-0.323,-0.687,-0.237,0.361,-0.765
963.946,-0.44,1.094,-0.385,-0.885,-0.44,-0.341,-0.678,-0.221,0.374,-0.719
974.296,-0.433,1.099,-0.39,-0.825,-0.414,-0.314,-0.652,-0.196,0.404,-0.732
983.173,-0.412,1.067,-0.355,-0.874,-0.452,-0.313,-0.654,-0.205,0.374,-0.695
994.272,-0.429,1.108,-0.319,-0.836,-0.441,-0.333,-0.62,-0.191,0.377,-0.673
1005.025,-0.541,0.93,-0.474,-1.025,-0.599,-0.436,-0.761,-0.307,0.252,-0.815
mean,-0.478,1.112,-0.415,-0.861,-0.43,-0.367,-0.712,-0.257,0.346,-0.77
